Date,Min Temperature,Max Temperature,Humidity,Rainfall
2025-01-01,7.1,14.7,73.0,31.6
2025-01-02,5.4,16.2,71.8,0.0
2025-01-03,6.7,16.1,71.9,0.0
2025-01-04,5.5,15.6,68.0,0.0
2025-01-05,6.3,15.5,73.7,0.0
2025-01-06,7.0,15.0,79.2,31.9
2025-01-07,9.0,17.8,80.0,0.0
2025-01-08,5.9,18.5,69.9,0.0
2025-01-09,6.8,19.5,71.6,0.0
2025-01-10,9.1,19.6,77.6,0.0
2025-01-11,7.2,20.5,74.4,0.0
2025-01-12,8.8,16.0,78.7,28.8
2025-01-13,9.3,20.9,69.3,0.0
2025-01-14,8.7,16.2,73.9,0.0
2025-01-15,8.1,16.4,68.0,0.0
2025-01-16,5.9,15.4,70.2,0.0
2025-01-17,7.5,20.9,76.7,0.0
2025-01-18,9.7,21.1,70.2,0.0
2025-01-19,4.6,18.5,73.6,0.0
2025-01-20,6.9,14.9,69.5,0.0
2025-01-21,8.0,16.9,73.4,0.0
2025-01-22,7.6,15.0,72.1,15.4
2025-01-23,5.5,16.2,67.5,0.0
2025-01-24,5.9,19.8,70.5,0.0
2025-01-25,10.0,19.3,71.8,0.0
2025-01-26,9.2,22.4,72.9,0.0
2025-01-27,9.6,19.2,69.9,30.8
2025-01-28,6.1,16.7,74.7,23.1
2025-01-29,9.5,21.9,72.3,34.1
2025-01-30,8.1,19.5,78.9,0.0
2025-01-31,7.6,15.6,76.7,0.0
2025-02-01,9.6,21.8,81.6,0.0
2025-02-02,6.7,19.2,66.3,0.0
2025-02-03,10.6,21.2,68.0,0.0
2025-02-04,9.6,19.1,80.0,0.0
2025-02-05,7.8,18.3,68.9,0.0
2025-02-06,7.0,20.6,66.8,7.4
2025-02-07,10.2,23.5,68.6,0.0
2025-02-08,7.8,17.0,70.9,0.0
2025-02-09,10.4,23.1,73.9,0.0
2025-02-10,8.6,20.7,77.7,0.0
2025-02-11,10.9,22.0,72.9,0.0
2025-02-12,8.3,18.8,67.1,0.0
2025-02-13,10.8,23.3,74.7,0.0
2025-02-14,12.2,20.0,65.7,0.0
2025-02-15,8.7,20.4,71.5,0.0
2025-02-16,12.0,21.4,76.8,0.0
2025-02-17,,20.8,65.6,0.0
2025-02-18,9.2,22.0,67.3,0.0
2025-02-19,8.4,21.8,66.3,0.0
2025-02-20,12.9,22.1,79.4,13.9
2025-02-21,8.6,19.6,79.6,0.0
2025-02-22,12.5,21.3,71.1,0.0
2025-02-23,9.1,21.0,72.0,0.0
2025-02-24,8.5,22.2,66.7,23.3
2025-02-25,12.6,22.9,64.4,0.0
2025-02-26,8.4,21.5,77.9,30.3
2025-02-27,10.1,23.4,77.7,0.0
2025-02-28,10.5,21.5,79.1,0.0
2025-03-01,10.7,22.6,64.2,0.0
2025-03-02,10.8,20.7,69.9,0.0
2025-03-03,13.4,21.6,63.7,0.0
2025-03-04,12.3,25.8,76.3,0.0
2025-03-05,14.6,24.8,67.2,15.8
2025-03-06,13.8,22.7,65.7,0.0
2025-03-07,9.3,22.8,68.9,0.0
2025-03-08,10.9,21.9,74.5,0.0
2025-03-09,12.6,23.1,65.3,8.8
2025-03-10,9.7,23.1,63.2,0.0
2025-03-11,10.7,22.2,70.6,33.0
2025-03-12,13.7,26.8,68.7,0.0
2025-03-13,13.8,21.6,72.3,0.0
2025-03-14,14.4,21.6,67.2,8.3
2025-03-15,12.4,24.0,68.3,0.0
2025-03-16,12.3,26.2,69.1,5.3
2025-03-17,14.5,27.8,63.0,0.0
2025-03-18,16.6,27.4,61.1,0.0
2025-03-19,15.1,23.6,75.7,29.1
2025-03-20,16.3,27.4,65.7,23.6
2025-03-21,18.9,27.2,62.4,0.0
2025-03-22,19.2,26.2,72.9,1.6
2025-03-23,14.3,24.5,75.1,0.0
2025-03-24,15.1,23.2,67.3,23.6
2025-03-25,14.0,27.7,72.9,0.0
2025-03-26,15.4,25.4,70.4,0.8
2025-03-27,16.2,26.0,72.0,0.0
2025-03-28,16.2,23.7,74.1,0.0
2025-03-29,14.2,26.7,71.7,0.0
2025-03-30,17.4,30.4,72.6,0.0
2025-03-31,15.4,29.3,64.7,0.0
2025-04-01,18.1,31.2,68.3,0.0
2025-04-02,20.6,27.6,64.1,0.0
2025-04-03,20.3,27.9,69.8,0.0
2025-04-04,19.4,,67.7,0.0
2025-04-05,16.5,28.0,59.1,12.9
2025-04-06,20.9,29.9,72.1,0.0
2025-04-07,18.9,26.1,69.3,0.0
2025-04-08,20.5,32.2,70.0,0.0
2025-04-09,15.6,29.6,67.0,0.0
2025-04-10,23.0,30.5,58.1,0.0
2025-04-11,18.2,28.1,66.9,0.0
2025-04-12,21.6,29.4,65.4,0.0
2025-04-13,18.3,30.9,66.9,0.0
2025-04-14,21.4,31.4,60.3,4.4
2025-04-15,17.6,30.0,69.7,0.0
2025-04-16,23.2,32.7,67.0,0.0
2025-04-17,20.9,27.9,59.4,0.0
2025-04-18,24.0,31.9,69.4,9.7
2025-04-19,18.4,31.6,68.9,1.3
2025-04-20,23.4,33.2,64.6,0.0
2025-04-21,23.1,31.4,60.3,0.0
2025-04-22,24.0,33.4,55.6,10.3
2025-04-23,24.8,34.8,63.0,0.0
2025-04-24,23.2,35.8,57.3,0.0
2025-04-25,21.5,34.8,55.7,0.0
2025-04-26,21.0,32.0,67.6,0.0
2025-04-27,23.7,33.2,69.5,0.0
2025-04-28,22.8,30.1,62.8,0.0
2025-04-29,20.5,32.2,56.6,0.0
2025-04-30,20.8,32.8,67.3,0.0
2025-05-01,25.3,36.6,59.1,23.2
2025-05-02,25.8,37.4,55.3,5.8
2025-05-03,27.0,34.9,64.7,0.0
2025-05-04,24.0,33.9,57.5,0.0
2025-05-05,22.9,33.6,63.7,0.0
2025-05-06,25.7,39.2,67.2,0.0
2025-05-07,22.3,34.6,,0.0
2025-05-08,24.4,35.9,62.7,0.0
2025-05-09,25.7,35.3,65.5,0.0
2025-05-10,27.0,36.0,61.0,0.0
2025-05-11,25.1,37.6,57.7,13.4
2025-05-12,26.3,36.8,58.1,0.0
2025-05-13,25.8,33.5,62.5,20.3
2025-05-14,28.6,39.1,63.2,0.0
2025-05-15,26.2,36.9,55.4,0.0
2025-05-16,27.3,36.6,66.6,0.0
2025-05-17,24.9,38.2,63.6,0.0
2025-05-18,26.1,36.5,55.1,0.0
2025-05-19,28.1,39.9,62.5,32.7
2025-05-20,24.3,37.0,53.7,0.0
2025-05-21,29.7,38.0,59.8,0.0
2025-05-22,30.9,39.2,66.5,0.0
2025-05-23,26.4,34.5,56.3,0.0
2025-05-24,29.5,38.1,57.4,0.0
2025-05-25,28.5,37.7,60.6,0.0
2025-05-26,27.4,41.3,57.4,1.8
2025-05-27,31.1,40.7,62.6,0.0
2025-05-28,28.1,39.8,59.0,0.0
2025-05-29,,41.4,60.6,4.9
2025-05-30,27.4,40.1,63.2,0.0
2025-05-31,31.1,40.5,60.1,33.4
2025-06-01,28.9,38.1,50.8,2.1
2025-06-02,27.7,41.6,49.7,0.0
2025-06-03,28.1,40.1,50.4,12.5
2025-06-04,28.8,38.7,57.1,0.0
2025-06-05,27.3,40.8,50.8,0.0
2025-06-06,31.0,40.6,52.2,0.0
2025-06-07,28.8,40.3,63.8,0.0
2025-06-08,29.7,39.8,49.6,32.8
2025-06-09,32.6,42.3,62.2,0.0
2025-06-10,30.9,38.4,58.4,15.8
2025-06-11,31.8,39.0,51.9,0.0
2025-06-12,32.5,40.6,58.3,0.0
2025-06-13,29.3,42.3,58.4,0.0
2025-06-14,29.9,38.6,56.1,11.3
2025-06-15,33.0,41.4,56.1,0.0
2025-06-16,31.4,41.6,62.9,0.0
2025-06-17,34.3,41.8,54.5,0.0
2025-06-18,27.5,40.6,61.7,0.0
2025-06-19,31.1,41.8,51.8,24.5
2025-06-20,32.6,42.7,57.8,0.0
2025-06-21,33.6,41.8,56.3,0.0
2025-06-22,29.9,42.0,49.2,0.0
